epoch   frame   hidden_layers   hidden_dim  train_accu  val_acc
30      15      3               32          0.49254     0.55225
30      21      4               16          0.40304     0.44920
30      21      3               32          0.52937     0.57915
30      25      3               32          0.54046     0.59247
50      25      5               32          0.52376     0.57879
50      7       3               32          0.50786     0.55196
50      11      4               64          0.58701     0.63495
50      15      6               80          0.61305     0.66438*
50      15      10              40          0.51832     0.56604
50      15      8               80          0.60599     0.65410
100     17      10              80          0.59710     0.65770
50      17      10              100         0.61453     0.67002*
30      21      20              80          0.56168     0.61496
100     21      20              80          0.58409     0.64387
30      25      25              80          0.51929     0.57866
50      25      20              100         0.57009     0.64116
